C,PDF,title,(source) id
1,1,QX: A high-performance quantum computer simulation platform,10.23919/DATE.2017.7
0,1,Quantum Computing: An Applied Approach,10.1007/978-3-030-23
0,1,Sign-problem free quantum stochastic series expansion algorithm on a quantum computer,10.1038/s41534-022-0
0,0,A Survey of Quantum Computing for Cloud Security,10.1201/978100328761
0,1,"Considering the Implications of Artificial Intelligence, Quantum Computing, and Cybersecurity",10.1109/CSCI58124.20
1,1,Quantum Programming on Azure Quantum—An Open Source Tool for Quantum Developers,10.1007/978-981-19-9
1,1,The engineering challenges in quantum computing,10.23919/DATE.2017.7
1,1,JKQ: JKU Tools for Quantum Computing,10.1145/3400302.3415
1,1,Leveraging Quantum Computing for Supervised Classification,10.1109/ICICCS48265.
-,0,Quantum computing techniques assessment and representation,10.1002/978139416740
0,1,Towards Reliable Distributed Quantum Computing on Quantum Interconnects,10.1145/3594671.3594
0,1,Graphical Language with Delayed Trace: Picturing Quantum Computing with Finite Memory,10.1109/LICS52264.20
,1,The Impact of Quantum Computing on Security in Emerging Technologies,10.1145/3508072.3508
,1,Fast training of fully-connected Boltzmann Machines on an Adiabatic Quantum Computer,10.1109/QCE57702.202
,1,Classification Problem in a Quantum Framework,10.1007/978-3-319-74
,1,On the potentials of quantum computing ? An interview with Heike Riel from IBM Research,10.1007/s12525-022-0
,0,Quantumedics: Brain Tumor Diagnosis and Analysis Based on Quantum Computing and Convolutional Neural Network,10.1007/978-3-031-43
,1,Quantum Computing Management of a Cloud/Edge Architecture,10.1145/3587135.3592
,1,Adiabatic quantum computing for max-sum diversification,10.1137/1.9781611976
,1,Jellyfish: A modular code for wave function-based electron dynamics simulations and visualizations on traditional and quantum compute architectures,10.1002/wcms.1696
,1,Network Intelligence with Quantum Computing in 6G and B6G: Design Principles and Future Directions,10.1109/GCWkshps5274
,1,Universal blind quantum computation for hybrid system,10.1007/s11128-017-1
,1,Exploring the Limitations of Hybrid Adiabatic Quantum Computing for Emission Tomography Reconstruction,10.3390/jimaging9100
,0,Analysis of Quantum Computing with Food Processing Use Case,10.1201/978100326781
,1,Quantum Computing for Image Processing and Artificial Vision: Innovations in Advanced Quantum Physics,10.1109/PAIS60821.20
,1,Towards a Quantum Software Modeling Language,10.1145/3387940.3392
,1,MAQA: a quantum framework for supervised learning,10.1007/s11128-023-0
0,0,Qubit representation of a binary tree and its operations in quantum computation,10.1016/bs.adcom.202
,1,Adapting cobit for quantum computing governance,10.1007/978-3-030-58
,1,ShorVis: A comprehensive case study of quantum computing visualization,10.1109/ICVRV.2017.0
0,0,CCCE: Cryptographic cloud computing environment based on quantum computations,10.4018/978-1-4666-9
,1,The Quantum software lifecycle,10.1145/3412451.3428
,1,Quantum machine learning-using quantum computation in artificial intelligence and deep neural networks: Quantum computation and machine learning in artificial intelligence,10.1109/IEMECON.2017
,1,Comparative Analysis of Quantum Computing Algorithm,10.1109/ACCTHPA57160
,1,Quantum Computing Techniques for?Multi-knapsack Problems,10.1007/978-3-031-37
,1,Empirical Investigation of Quantum Computing on Solving Complex Problems,10.1007/978-3-031-48
,1,Quantum computing challenges in the software industry. A fuzzy AHP-based approach,10.1016/j.infsof.202
,1,Quantum Computers for High-Performance Computing,10.1109/MM.2021.3099
,1,Quantum software tools overview,10.1007/978-3-031-05
,1,Quantum Computing in the Cloud: Analyzing job and machine characteristics,10.1109/IISWC53511.2
,1,Quantum Computing Methods for Supply Chain Management,10.1109/SEC54971.202
,1,Design and Development of Superconducting-quantum-computer System,10.53829/ntr202311fa
,1,Automatic Implementation and Evaluation of Error-Correcting Codes for Quantum Computing: An Open-Source Framework for Quantum Error Correction,10.1109/VLSID57277.2
,1,MorphQ: Metamorphic Testing of the Qiskit Quantum Computing Platform,10.1109/ICSE48619.20
,1,QSSA: An SSA-Based IR for Quantum Computing,10.1145/3497776.3517
0,0,Quantum Computing-Based Image Representation with IBM QISKIT Libraries,10.1201/978100337138
,1,The Chronus Quantum software package,10.1002/wcms.1436
,1,Distributed quantum computation-how does it scale?,10.1109/IPC47351.202
,1,Maritime applications of quantum computation,10.23919/oceans.2015
,1,Can artificial intelligence benefit from quantum computing?,10.1007/s13748-014-0
,1,Practical Quantum Computing,10.1145/3430030
,1,Integrating quantum computing into workflow modeling and execution,10.1109/UCC48980.202
,1,PBS-calculus: A graphical language for coherent control of quantum computations,10.4230/LIPIcs.MFCS.
,1,Comparing Quantum Computing Platforms,10.1007/978-3-030-98
,1,Quantum Nodes: Quantum Computing Applied to 3D Modeling,10.1145/3450618.3469
,1,Q#: Enabling scalable quantum computing and development with a high-level DSL,10.1145/3183895.3183
,1,On new PageRank computation methods using quantum computing,10.1007/s11128-023-0
