Publication Type,Authors,Author Full Names,Article Title,Source Title,Language,Document Type,Author Keywords,Keywords Plus,Abstract,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Publication Date,Publication Year,DOI,DOI Link,Number of Pages,WoS Categories,Research Areas,IDS Number,Open Access Designations,Date of Export,Web of Science Record
C,"Yamaguchi, M; Yoshioka, N","Yamaguchi, Masaomi; Yoshioka, Nobukazu",Design by Contract Framework for Quantum Software,"2023 IEEE/ACM 4TH INTERNATIONAL WORKSHOP ON QUANTUM SOFTWARE ENGINEERING, Q-SE",English,Proceedings Paper,Programming by contract; Testing and Debugging; quantum computing,,"To realize reliable quantum software, techniques to automatically ensure the quantum software's correctness have recently been investigated. However, they primarily focus on fixed quantum circuits rather than the procedure of building quantum circuits. Despite being a common approach, the correctness of building circuits using different parameters following the same procedure is not guaranteed. To this end, we propose a designby-contract framework for quantum software. Our framework provides a python-embedded language to write assertions on the input and output states of all quantum circuits built by certain procedures. Additionally, it provides a method to write assertions about the statistical processing of measurement results to ensure the procedure's correctness for obtaining the final result. These assertions are automatically checked using a quantum computer simulator. For evaluation, we implemented our framework and wrote assertions for some widely used quantum algorithms. Consequently, we found that our framework has sufficient expressive power to verify the whole procedure of quantum software.",10,0,0,0,0,,,979-8-3503-0180-9,,2023,10.1109/Q-SE59154.2023.00010,http://dx.doi.org/10.1109/Q-SE59154.2023.00010,2,"Computer Science, Software Engineering; Quantum Science & Technology",Computer Science; Physics,BV4QP,,2024-03-12,View Full Record in Web of Science
C,"Schonberger, M; Franz, M; Scherzinger, S; Mauerer, W","Schonberger, Manuel; Franz, Maja; Scherzinger, Stefanie; Mauerer, Wolfgang",Peel | Pile? Cross-Framework Portability of Quantum Software,2022 IEEE 19TH INTERNATIONAL CONFERENCE ON SOFTWARE ARCHITECTURE COMPANION (ICSA-C 2022),English,Proceedings Paper,,,"In recent years, various vendors have made quantum software frameworks available. Yet with vendor-specific frameworks, code portability seems at risk, especially in a field where hardware and software libraries have not yet reached a consolidated state, and even foundational aspects of the technologies are still in flux. Accordingly, the development of vendor-independent quantum programming languages and frameworks is often suggested. This follows the established architectural pattern of introducing additional levels of abstraction into software stacks, thereby piling on layers of abstraction. Yet software architecture also provides seemingly less abstract alternatives, namely to focus on hardware-specific formulations of problems that peel off unnecessary layers. In this article, we quantitatively and experimentally explore these strategic alternatives, and compare popular quantum frameworks from the software implementation perspective. We find that for several specific, yet generalisable problems, the mathematical formulation of the problem to be solved is not just sufficiently abstract and serves as precise description, but is likewise concrete enough to allow for deriving framework-specific implementations with little effort. Additionally, we argue, based on analysing dozens of existing quantum codes, that porting between frameworks is actually low-effort, since the quantum- and framework-specific portions are very manageable in terms of size, commonly in the order of mere hundreds of lines of code. Given the current state-of-the-art in quantum programming practice, this leads us to argue in favour of peeling off unnecessary abstraction levels.",62,2,2,0,0,,,978-1-6654-9493-9,,2022,10.1109/ICSA-C54293.2022.00039,http://dx.doi.org/10.1109/ICSA-C54293.2022.00039,6,"Computer Science, Hardware & Architecture; Computer Science, Software Engineering",Computer Science,BT5WB,,2024-03-12,View Full Record in Web of Science
J,"De Stefano, M; Pecorelli, F; Di Nucci, D; Palomba, F; De Lucia, A","De Stefano, Manuel; Pecorelli, Fabiano; Di Nucci, Dario; Palomba, Fabio; De Lucia, Andrea",Software engineering for quantum programming: How far are we?,JOURNAL OF SYSTEMS AND SOFTWARE,English,Article; Early Access,Quantum computing; Software engineering for quantum programming; Empirical software engineering,SPEED,"Quantum computing is no longer only a scientific interest but is rapidly becoming an industrially available technology that can potentially overcome the limits of classical computation. Over the last years, all major companies have provided frameworks and programming languages that allow developers to create their quantum applications. This shift has led to the definition of a new discipline called quantum software engineering, which is demanded to define novel methods for engineering large-scale quantum applications. While the research community is successfully embracing this call, we notice a lack of systematic investigations into the state of the practice of quantum programming. Understanding the challenges that quantum developers face is vital to precisely define the aims of quantum software engineering. Hence, in this paper, we first mine all the GITHUB repositories that make use of the most used quantum programming frameworks currently on the market and then conduct coding analysis sessions to produce a taxonomy of the purposes for which quantum technologies are used. In the second place, we conduct a survey study that involves the contributors of the considered repositories, which aims to elicit the developers' opinions on the current adoption and challenges of quantum programming. On the one hand, the results highlight that the current adoption of quantum programming is still limited. On the other hand, there are many challenges that the software engineering community should carefully consider: these do not strictly pertain to technical concerns but also socio-technical matters. (c) 2022 Elsevier Inc. All rights reserved.",66,13,13,3,10,0164-1212,1873-1228,,2022 AUG,2022,10.1016/j.jss.2022.111326,http://dx.doi.org/10.1016/j.jss.2022.111326,15,"Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,1G1RS,Green Submitted,2024-03-12,View Full Record in Web of Science
C,"Gemeinhardt, F; Garmendia, A; Wimmer, M","Gemeinhardt, Felix; Garmendia, Antonio; Wimmer, Manuel",Towards Model-Driven Quantum Software Engineering,2021 IEEE/ACM 2ND INTERNATIONAL WORKSHOP ON QUANTUM SOFTWARE ENGINEERING (Q-SE 2021),English,Proceedings Paper,,,"Quantum technologies are emerging. Dedicated languages for programming Quantum machines are emerging as well and already used in different settings. Orthogonal to this development, Model-Driven Engineering (MDE) is explored to ease the development of software systems by applying modeling techniques such as Domain-Specific Modeling Languages and generative techniques such as code generation. In this position paper, we argue for a dedicated research line which deals with the exploration of how MDE may be applied for Quantum technologies. This combination would allow to speed-up the development of Quantum software, open the door for domain experts to utilize Quantum technologies, and may provide an additional abstraction layer over existing Quantum hardware architectures and programming languages. We outline several research challenges which we derived from a demonstration case of how to exploit domain-specific modeling for social network analysis on Quantum technologies.",19,10,10,0,1,,,978-1-6654-4462-0,,2021,10.1109/Q-SE52541.2021.00010,http://dx.doi.org/10.1109/Q-SE52541.2021.00010,3,"Computer Science, Software Engineering",Computer Science,BT2XM,,2024-03-12,View Full Record in Web of Science
J,"Serrano, MA; Cruz-Lemus, JA; Perez-Castillo, R; Piattini, M","Serrano, Manuel A.; Cruz-Lemus, Jose A.; Perez-Castillo, Ricardo; Piattini, Mario",Quantum Software Components and Platforms: Overview and Quality Assessment,ACM COMPUTING SURVEYS,English,Article,Quantum computing; quantum software; quantum platforms; Quantum Software Engineering,PROGRAMMING-LANGUAGES; LAMBDA-CALCULUS; SIMULATION; COMPUTATION; PHYSICS,"Quantum computing is the latest revolution in computing and will probably come to be seen as an advance as important as the steam engine or the information society. In the last few decades, our understanding of quantum computers has expanded and multiple efforts have been made to create languages, libraries, tools, and environments to facilitate their programming. Nonetheless, quantum computers are complex systems at the bottom of a stack of layers that programmers need to understand. Hence, efforts towards creating quantum programming languages and computing environments that can abstract low-level technology details have become crucial steps to achieve a useful quantum computing technology. However, most of these environments still lack many of the features that would be desirable, such as those outlined in The Talavera Manifesto for Quantum Software Engineering and Programming. For advancing quantum computing, we will need to develop quantum software engineering techniques and tools to ensure the feasibility of this new type of quantum software. To contribute to this goal, this paper provides a review of the main quantum software components and platforms. We also propose a set of quality requirements for the development of quantum software platforms and the conduct of their quality assessment.",158,8,8,2,12,0360-0300,1557-7341,,AUG,2023,10.1145/3548679,http://dx.doi.org/10.1145/3548679,30,"Computer Science, Theory & Methods",Computer Science,7K7RL,Bronze,2024-03-12,View Full Record in Web of Science
C,"Gebauer, R; Karcher, N; Hurst, J; Weber, M; Sander, O","Gebauer, Richard; Karcher, Nick; Hurst, Jonas; Weber, Marc; Sander, Oliver",Taskrunner: A Flexible Framework Optimized for Low Latency Quantum Computing Experiments,34TH IEEE INTERNATIONAL SYSTEM ON CHIP CONFERENCE (SOCC),English,Proceedings Paper,Heterogeneous systems; Multiprocessor systems; Quantum computing; Real-time systems; Software architecture; Software radio; System-on-chip,,"Superconducting circuits, as used for quantum computing experiments, are commonly interfaced by microwave pulse sequences with gigahertz frequencies. To generate and analyze these pulses, we developed a versatile FPGA-based electronics platform. The modular FPGA firmware guarantees highest accuracy on the nanosecond timescale. More complex data acquisition and control schemes utilize the real-time co-processor of the heterogeneous Multiprocessor System-on-Chip (MPSoC) through an application-specific framework called Taskrunner. The framework complements the FPGA logic with versatile and low-latent control, data aggregation and evaluation capabilities. Within the framework, user tasks are specified conveniently using standard C language and compiled on the fly directly on the MPSoC platform. In this paper, we present the architecture of our Taskrunner software framework. We also provide timing benchmarks and compare execution times of common quantum computing characterization experiments with an FPGA-only approach.",28,1,1,0,0,,,978-1-6654-2931-3,,2021,10.1109/SOCC52499.2021.9739306,http://dx.doi.org/10.1109/SOCC52499.2021.9739306,6,"Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic",Computer Science; Engineering,BT2VZ,,2024-03-12,View Full Record in Web of Science
J,"Hähner, UR; Alvarez, G; Maier, TA; Solcà, R; Staar, P; Summers, MS; Schulthess, TC","Haehner, Urs R.; Alvarez, Gonzalo; Maier, Thomas A.; Solca, Raffaele; Staar, Peter; Summers, Michael S.; Schulthess, Thomas C.",DCA plus plus : A software framework to solve correlated electron problems with modern quantum cluster methods,COMPUTER PHYSICS COMMUNICATIONS,English,Article,Strongly correlated electron systems; Quantum cluster algorithms; Dynamical cluster approximation; Continuous-time quantum Monte Carlo; Extreme-scale computing; Sustainable software development,MONTE-CARLO METHOD; FERMIONS,"We present the first open release of the DCA++ project, a high-performance research software framework to solve quantum many-body problems with cutting edge quantum cluster algorithms. DCA++ implements the dynamical cluster approximation (DCA) and its DCA(+) extension with a continuous self-energy. The algorithms capture nonlocal correlations in strongly correlated electron systems, thereby giving insight into high-T-c superconductivity. The code's scalability allows efficient usage of systems at all scales, from workstations to leadership computers. With regard to the increasing heterogeneity of modern computing machines, DCA++ provides portable performance on conventional and emerging new architectures, such as hybrid CPU-GPU, sustaining multiple petaflops on ORNL's Titan and CSCS' Piz Daint supercomputers. Moreover, we show how sustainable and scalable development of the code base has been achieved by adopting standard techniques of the software industry. These include employing a distributed version control system, applying test-driven development and following continuous integration. Program summary Program Title: DCA++ Program Files doi: http://dx.doi.org/10.17632/482jm5cv77.1 Licensing provisions: BSD-3-Clause Programming language: C++14 and CUDA Nature of problem: Understanding the fascinating physics of strongly correlated electron systems requires the development of sophisticated algorithms and their implementation on leadership computing systems. Solution method: The DCA++ code provides a highly scalable and efficient implementation of the dynamical cluster approximation (DCA) and its DCA(+) extension. (C) 2019 The Authors. Published by Elsevier B.V.",36,15,16,0,4,0010-4655,1879-2944,,JAN,2020,10.1016/j.cpc.2019.01.006,http://dx.doi.org/10.1016/j.cpc.2019.01.006,19,"Computer Science, Interdisciplinary Applications; Physics, Mathematical",Computer Science; Physics,JP5UR,"Green Published, Green Submitted, hybrid",2024-03-12,View Full Record in Web of Science
J,"Khammassi, N; Ashraf, I; Someren, JV; Nane, R; Krol, AM; Rol, MA; Lao, L; Bertels, K; Almudever, CG","Khammassi, N.; Ashraf, I.; Someren, J. V.; Nane, R.; Krol, A. M.; Rol, M. A.; Lao, L.; Bertels, K.; Almudever, C. G.",OpenQL: A Portable Quantum Programming Framework for Quantum Accelerators,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,English,Article,Quantum compiler; quantum computing; quantum circuit; quantum processor,,"With the potential of quantum algorithms to solve intractable classical problems, quantum computing is rapidly evolving, and more algorithms are being developed and optimized. Expressing these quantum algorithms using a high-level language and making them executable on a quantum processor while abstracting away hardware details is a challenging task. First, a quantum programming language should provide an intuitive programming interface to describe those algorithms. Then a compiler has to transform the program into a quantum circuit, optimize it, and map it to the target quantum processor respecting the hardware constraints such as the supported quantum operations, the qubit connectivity, and the control electronics limitations. In this article, we propose a quantum programming framework named OpenQL, which includes a high-level quantum programming language and its associated quantum compiler. We present the programming interface of OpenQL, we describe the different layers of the compiler and how we can provide portability over different qubit technologies. Our experiments show that OpenQL allows the execution of the same high-level algorithm on two different qubit technologies, namely superconducting qubits and Si-Spin qubits. Besides the executable code, OpenQL also produces an intermediate quantum assembly code, which is technology independent and can be simulated using the QX simulator.",55,7,7,0,1,1550-4832,1550-4840,,JAN,2022,10.1145/3474222,http://dx.doi.org/10.1145/3474222,24,"Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic; Nanoscience & Nanotechnology",Computer Science; Engineering; Science & Technology - Other Topics,7O7QO,"Green Published, Bronze, Green Submitted",2024-03-12,View Full Record in Web of Science
C,"Wakizaka, R","Wakizaka, Ryo",Towards Reliable Distributed Quantum Computing on Quantum Interconnects,"COMPANION PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON THE ART, SCIENCE, AND ENGINEERING OF PROGRAMMING, PROGRAMMING 2023",English,Proceedings Paper,quantum interconnects; quantum internet; distributed quantum computing; quantum programming language; formal verification,,"Quantum interconnects (QuICs), which connect multiple quantum devices to build distributed quantum systems, are essential for large-scale quantum information processing. While various software tools have been developed to analyze quantum programs running on QuICs, there are very few frameworks for formal reasoning about them on actual quantum devices. The lack of such tools may make distributed systems unreliable because of the complicated behavior of concurrent quantum processes and the physical constraints of quantum devices. This paper discusses the need for an infrastructure, including a distributed quantum programming language, to realize reliable distributed quantum computing.",37,0,0,1,1,,,979-8-4007-0755-1,,2023,10.1145/3594671.3594691,http://dx.doi.org/10.1145/3594671.3594691,3,"Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BW3RD,,2024-03-12,View Full Record in Web of Science
C,"Wang, JY; Zhang, Q; Xu, GH; Kim, M","Wang, Jiyuan; Zhang, Qian; Xu, Guoqing Harry; Kim, Miryung",QDiff: Differential Testing of Quantum Software Stacks,2021 36TH IEEE/ACM INTERNATIONAL CONFERENCE ON AUTOMATED SOFTWARE ENGINEERING ASE 2021,English,Proceedings Paper,,,"Over the past few years, several quantum software stacks (QSS) have been developed in response to rapid hardware advances in quantum computing. A QSS includes a quantum programming language, an optimizing compiler that translates a quantum algorithm written in a high-level language into quantum gate instructions, a quantum simulator that emulates these instructions on a classical device, and a software controller that sends analog signals to a very expensive quantum hardware based on quantum circuits. In comparison to traditional compilers and architecture simulators, QSSes are difficult to tests due to the probabilistic nature of results, the lack of clear hardware specifications, and quantum programming complexity. This work devises a novel differential testing approach for QSSes, named QDIFF with three major innovations: (1) We generate input programs to be tested via semantics-preserving, source to source transformation to explore program variants. (2) We speed up differential testing by filtering out quantum circuits that are not worthwhile to execute on quantum hardware by analyzing static characteristics such as a circuit depth, 2-gate operations, gate error rates, and T1 relaxation time. (3) We design an extensible equivalence checking mechanism via distribution comparison functions such as Kolmogorov-Smirnov test and cross entropy. We evaluate QDIFF with three widely-used open source QSSes: Qiskit from IBM, Cirq from Google, and Pyquil from Rigetti. By running QDIFF on both real hardware and quantum simulators, we found several critical bugs revealing potential instabilities in these platforms. QDIFF's source transformation is effective in producing semantically equivalent yet not-identical circuits (i.e., 34% of trials), and its filtering mechanism can speed up differential testing by 66%.",62,8,8,2,5,,,978-1-6654-0337-5,,2021,10.1109/ASE51524.2021.9678792,http://dx.doi.org/10.1109/ASE51524.2021.9678792,13,"Computer Science, Software Engineering",Computer Science,BS9CZ,,2024-03-12,View Full Record in Web of Science
