(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,thecap,labeled_at,general notes (thecap),population notes (thecap),intervention/comparator notes (thecap),outcome notes (thecap)
40690655,http://dx.doi.org/10,0,"photoluminescence; quantum dots; epitaxy; GaAs; InGaAs","We present a simple in situ method to fabricate high-quality InGaAs/GaAs quantum dots on (111)B GaAs substrates. The mechanism of the quantum dot formation is not strain relaxation but the growth characteristic of (111)B GaAs under low substrate temperatures. When the growth is performed at low temperatures, the layer-by-layer growth mode is replaced by island growth and therefore quantum dots are formed. The formation of the quantum dots was verified by atomic force microscope (AFM) images and the shift of photoluminescence (PL). The PL emission from the quantum dots was very strong and the full-width at half-maximum (FWHM) of the emission peak was as small as 7.7 meV, indicating excellent quality and very uniform dot formation. The effect of nominal thickness on the quantum dot formation has been investigated.","Photoluminescence study of high-quality InGaAs/GaAs quantum dots on (111)B GaAs substrates","JAPAN J APPLIED PHYSICS","Tsai and  FY; Lee and  CP","",o,,-1,2024-03-31 20:08:27,,,,
40690656,https://www.scopus.c,0,"Quantum computers; Complex infrastructures; Computing infrastructures; Performance computing; Quantum Computing; Quantum technologies; Quantum-classical; Integration","Quantum computing's potential as an adjunct to high-performance computing (HPC) infrastructure is clear, but the integration of the two (HPCQC) faces numerous challenges. These issues primarily lie in the complex infrastructure needed for integration. Key to the HPCQC integration is the creation of a unified hybrid quantum-classical toolchain that reduces latency and supports various quantum technologies. Other obstacles include hardware-related requirements like maintaining uptime and networking. This poster focuses on the challenges.  ?? 2023 IEEE.","Challenges in HPCQC Integration","Scopus: Proc. - IEEE Int. Conf. Quantum Comput. Eng., QCEConference paperFinal","Elsharkawy and  Amr (57204839604); To and  Xiao-Ting Michelle (57217685761); Seitz and  Philipp (58578318100); Chen and  Yanbin (58644497800); Stade and  Yannick (58591328300); Geiger and  Manuel (58644497900); Huang and  Qunsheng (57222956636); Guo and  Xiaorang (57874428900); Ansari and  Muhammad Arslan (58644048300); Ruefenacht and  Martin (57191978335); Schulz and  Laura (57225174247); Karlsson and  Sven (57225388551); Mendl and  Christian B. (26634070400); Kranzlmuller and  Dieter (26643233300); Schulz and  Martin (57192104187)","",o,,1,2024-03-31 20:09:25,,,,
40690657,https://www.scopus.c,0,"Quantum computing; Quantum natural language processing; Quantum support vector machines; Question answering; Question classification; Variational quantum classifier","Question Answering (QA) has proved to be an arduous challenge in the area of natural language processing (NLP) and artificial intelligence (AI). Many attempts have been made to develop complete solutions for QA as well as improving significant sub-modules of the QA systems to improve the overall performance through the course of time. Questions are the most important piece of QA, because knowing the question is equivalent to knowing what counts as an answer (Harrah in Philos Sci 28:40???46, 1961, [1]). In this work, we have attempted to understand questions in a better way by using Quantum Machine Learning (QML). The properties of Quantum Computing (QC) have enabled classically intractable data processing. So, in this paper, we have performed question classification on questions from two classes of SelQA (Selection-based Question Answering) dataset using quantum-based classifier algorithms???quantum support vector machine (QSVM) and variational quantum classifier (VQC) from Qiskit (Quantum Information Science toolKIT) for Python. We perform classification with both classifiers in almost similar environments and study the effects of circuit depths while comparing the results of both classifiers. We also use these classification results with our own rule-based QA system and observe significant performance improvement. Hence, this experiment has helped in improving the quality of QA in general. ?? 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Implications of Deep Circuits in Improving Quality of Quantum Question Answering","Scopus: Stud. Comput. Intell.Book chapterFinal","Katyayan and  Pragya (57205730622); Joshi and  Nisheeth (36052866600)","",o,,1,2024-03-31 20:10:53,,,,
40690658,http://dx.doi.org/10,0,"CASCADE LASERS; INTERSUBBAND ELECTROLUMINESCENCE; BAND ALIGNMENT; SILICON; HETEROSTRUCTURES; SIGE/SI; PHOTOLUMINESCENCE; DIFFRACTION; KINETICS; EMITTERS","Strain-symmetrized Ge/SiGe multiple quantum wells have been grown on a thin (2.1 mu m) relaxed Si0.2Ge0.8/Ge/Si(100) virtual substrate (VS) by reduced pressure chemical vapour deposition. Such structures are of interest in optoelectronic applications for which the structural integrity of the quantum well layers, after processing, is critical. The layer composition, thickness and interface quality have been studied for wafers both as-grown and after annealing between 550 and 700 degrees C. Transmission electron microscopy indicated precise thickness control of +/- 0.1 nm and sharp abruptness between the Ge QWs and SiGe barrier layers. A smooth surface was observed, with an average rms roughness of 1.5 +/- 0.1 nm determined by atomic force microscopy. High-resolution x-ray diffraction (HR-XRD) indicated that both the QWs and barriers were fully strained compared with the relaxed VS. The thermal stability of the epilayers was investigated both by ultra low energy secondary ion mass spectroscopy of post-growth annealed layers and by in situ annealing in a high temperature HR-XRD stage. No obvious interdiffusion and strain relaxation was observed provided the annealing temperature was below 600 degrees C, but significant atomic rearrangement was evident for greater thermal budgets, thereby setting an upper processing temperature for this type of structure.","High-quality Ge/Si0.4Ge0.6 multiple quantum wells for photonic applications: growth by reduced pressure chemical vapour deposition and structural characteristics","IOP PUBLISHING LTD","Liu and  XC; Myronov and  M; Dobbie and  A; Morris and  RJH; Leadley and  DR","",o,,-1,2024-03-31 20:11:13,,,,
40690659,http://dx.doi.org/10,0,"EXCITONS","We present an experimental study of the exciton and phonon replica dynamics in high quality GaN epilayers and AlGaN/GaN quantum wells (QW) by means of picosecond time-resolved photoluminescence (PL) measurements. A non-exponential decay is observed both at the zero phonon line (ZPL) and at the n = 1 LO replica. Time-resolved spectra unambiguously assign the replica to the free exciton A recombination. Optical migration effects are detected both in the epilayer and the QWs samples and disappear as the temperature increases up to 60-90 K. Even though the sample quality is comparable to state-of-the-art samples, localization effects dominate the exciton dynamics at low temperature in the studied GaN based strucures.","Phonon replica dynamics in high quality GaN epilayers and AlGaN/GaN quantum wells","WILEY-V C H VERLAG GMBH","Alderighi and  D; Vinattieri and  A; Bogani and  F; Colocci and  M; Gottardo and  S; Grandjean and  N; Massies and  J","",o,,-1,2024-03-31 20:11:18,,,,
40690660,https://www.scopus.c,0,"Clustering; K-mean; Learning Objects (LO); Quality Metrics; Recommender System; Self Organizing Map","E-learning today has shown exponential growth as it provides the potential to provide right information to the right people at right time and place, using the right medium. The atomic unit of any e-learning environment is a Learning object, a digital entity which can be used in electronic learning environment. These learning objects are stored in repositories and are managed by Learning Management Systems. However, the exponential availability of information leads to a difficult scenario like finding a particular educational resource for a learner, based on the context or based on his/her preferences. The searching through keywords or metadata will result in display of huge quantity of information. Thus there is an earnest need to identify the techniques that can provide more efficient mechanism for information retrieval. In this paper a model is being proposed that can enhance the search and delivery of a relevant learning object to a learner using quality metrics & clustering of learning objects through Self Organising Maps. ?? 2012 IEEE.","Quality metrics a quanta for retrieving learning object by clustering techniques","Scopus: Int. Conf. Digit. Inf. Commun. Technol. Appl., DICTAPConference paperFinal","Sabitha and  A Sai (55308174200); Mehrotra and  Deepti (36699870600); Bansal and  Abhay (55307768600)","",o,,-1,2024-03-31 20:11:48,,,,
40690661,http://dx.doi.org/10,0,"ghost images; image quality; entangled photons; point spread function","The effect of defocusing due to the finite thickness of the crystal, in which parametric scattering occurs, on the spatial resolution of ghost images is considered. The necessary relationships are presented, and methods of levelling this distorting factor and improving the quality of ghost images are proposed.","Effect of defocusing on the quality of quantum ghost images","TURPION LTD","Belinsky and  AV","",o,,-1,2024-03-31 20:12:01,,,,
40690662,http://dx.doi.org/10,0,"","We report on the first time measurement, using four-wave mixing, of the dephasing time of excitons in a high-quality GaN/Al0.05Ga0.95N quantum well. The comparison with the exciton-spin lifetime, determined via pump-probe spectroscopy using polarized laser pulses, shows that spin relaxation occurs in the motional narrowing regime.","Phase and spin relaxation dynamics in high-quality single GaN/AlGaN quantum well","SPRINGER INT PUBLISHING AG","Gallart and  M; Ziegler and  M; H??nerlage and  B; Gilliot and  P; Feltin and  E; Carlin and  JF; Butt?? and  R; Grandjean and  N","",o,,-1,2024-03-31 20:12:05,,,,
40690663,https%3A%2F%2Fwww.we,0,"CHEMICAL BEAM EPITAXY; LASER-DIODES; OPERATION; GROWTH","This paper presents the thermal annealing effects on GaInNAs/GaAs quantum well structures grown by chemical beam epitaxy (CBE). The room temperature PL peak intensity of GaInNAs/GaAs QWs increased up to 70 times higher than that of as-grown one by annealed at 675degreesC for 30 seconds. The blue-shift of PL peak wavelength of GaInNAs/GaAs QWs and GaNAs/GaAs QWs was measured to examine the structural change of QWs. It was found that the blue-shift was caused by Indium diffusion and small nitrogen atoms diffusion even after high temperature annealing. Thermal annealing at an optimal annealing temperature gives us significant improvement in optical quality without noticeable inter-diffusion in QWs.","Optical quality improvement and blue-shift of GaInNAs/GaAs quantum well structures by thermal annealing","IOP PUBLISHING LTD","Kageyama and  T; Miyamoto and  T; Makino and  S; Koyama and  F; Iga and  K","",o,,-1,2024-03-31 20:12:13,,,,
40690664,http://dx.doi.org/10,0,"DENSITY-FUNCTIONAL THEORIES; ADDITIVITY RULES; GAUSSIAN-3; ENERGIES; SET","In this article, recent work on calculating high-quality enthalpies of formation for polycyclic aromatic hydrocarbons (PAHs) based on both density functional theory (DFT) and Gaussian-3 (G3) model chemistry methods is discussed. It is shown that through the use of an empirical correction model, the systematic errors in low-level DFT calculations can be controlled to produce reliable thermochemistry. It is further shown that the G3 results have a more regular systematic error and as a consequence a simpler model may be used to correct for systematic deviations. It is seen that the resulting enthalpy of formation values are in good agreement with the available experimental data, and that the predictions are sufficiently robust to point out certain errors in experimental determinations. This work was done as part of a larger effort to create a curated data set of property data for a large set of PAH molecules. In furtherance of this goal, UV/Vis spectra have been computed using time-dependent DFT. The collection of PAH data is being made publicly available through a web-based database that is briefly described.","High-Quality Thermochemistry Data on Polycyclic Aromatic Hydrocarbons via Quantum Chemistry","TAYLOR & FRANCIS LTD","Allison and  TC; Burgess and  DR","",o,,-1,2024-03-31 20:12:17,,,,
