(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,thecap,labeled_at,general notes (thecap)
39872578,10.1515/978311079140,0,,"In this tech-savvy era, as new technologies are developed every day by researchers and scientists, this also paves way to discover replacements to classical computers. One such advancement is the uncovering of quantum computing. They are brought up to light for the purpose of solving problems and scenarios solved by classical computers but in a more effective way and at least a span of time. The study of quantum computing focuses on finding new ways to compute by utilizing quantum physics phenomena. A qubit, in contrast to a typical computer bit, can be either 0 or 1, or it can be a superposition of both 0 and 1. Quantum theory serving as the base to operate supercomputers is based on two aspects of quantum physics: superposition and entanglement. This quantum computing plays extraordinary roles in different zones of applications such as weather forecasting, logistics, finance, healthcare, and cybersecurity. They are discussed with clarity in this chapter by throwing bright light on these important inevitable topics. ? 2023 Walter de Gruyter GmbH, Berlin/Boston. All rights reserved.",Quantum computing: Application-specific need of the hour: Digital transformation technology and tools: Shaping the future of primary healthcare,Quantum Computing and Artificial Intelligence: Training Machine and Deep Learning Algorithms on Quantum Computers,Vedhapriyavadhana R.; Rajathi G.I.; Niranjana R.; Pooranam N.,,o,,-1,2024-02-14 21:51:12,
39872579,10.23919/DATE.2017.7,0,,"Quantum computing is rapidly evolving especially after the discovery of several efficient quantum algorithms solving intractable classical problems such as Shor's factoring algorithm. However the realization of a large-scale physical quantum computer is very challenging and the number of qubits that are currently under development is still very low, namely less than 15. In the absence of large size platforms, quantum computer simulation is critical for developing and testing quantum algorithms and investigating the different challenges facing the design of quantum computer hardware. What makes quantum computer simulation on classical computers particularly challenging are the memory and computational resource requirements. In this paper, we introduce a universal quantum computer simulator, called QX, that takes as input a specially designed quantum assembly language, called QASM, and provides, through agressive optimisations, high simulation speeds and large number of qubits. QX allows the simulation of up to 34 fully entangled qubits on a single node using less than 270 GB of memory. Our experiments using different quantum algorithms show that QX achieves significant simulation speedup over similar state-of-the-art simulation environment. ? 2017 IEEE.",QX: A high-performance quantum computer simulation platform,"Proceedings of the 2017 Design, Automation and Test in Europe, DATE 2017",Khammassi N.; Ashraf I.; Fu X.; Almudever C.G.; Bertels K.,language,o,,1,2024-02-18 16:50:07,
39872580,10.1007/978-3-030-23,0,Bristlecone; Cirq; Grover?s algorithm; IBM quantum; Q#; QISkit; Quantum advantage; Quantum AI; Quantum computation; Quantum computers; Quantum computing; Quantum machine learning; Quantum optimization; Quantum supremacy; Qubits; Shor?s algorithm; Superconducting qubits; Trapped ion,"This book integrates the foundations of quantum computing with a hands-on coding approach to this emerging field; it is the first work to bring these strands together in an updated manner. This work is suitable for both academic coursework and corporate technical training. This volume comprises three books under one cover: Part I outlines the necessary foundations of quantum computing and quantum circuits. Part II walks through the canon of quantum computing algorithms and provides code on a range of quantum computing methods in current use. Part III covers the mathematical toolkit required to master quantum computing. Additional resources include a table of operators and circuit elements and a companion GitHub site providing code and updates. Jack D. Hidary is a research scientist in quantum computing and in AI at Alphabet X, formerly Google X. ?Quantum Computing will change our world in unexpected ways. Everything technology leaders, engineers and graduate students need is in this book including the methods and hands-on code to program on this novel platform.??Eric Schmidt, PhD, Former Chairman and CEO of Google; Founder, Innovation Endeavors. ? Jack D. Hidary under exclusive license to Springer Nature Switzerland AG 2019.",Quantum Computing: An Applied Approach,Quantum Computing: An Applied Approach,Hidary J.D.,"book,toolkit",o,,1,2024-02-18 16:53:08,Part III of the book seems relevant
39872581,10.1201/978100336638,0,,"The 17 Sustainable Development Goals for 2030 of the United Nations have well defined quantitative objectives in each of these different areas. The ability to note significant progress against these goals, in order to determine if advancement is truly being achieved, is heavily dependent on space sensing systems. Likewise, space systems are also frequently key to detecting problems, enabling progress, and indeed crucial to achieving these goals. New high performance space systems plus enhanced data processing systems, including big data analysis and artificially intelligence, can provide a ?real-time? understanding of global activities?both positive and negative. The petabytes of data generated by advanced multi-spectral Earth Observation Systems are not the essence of these space systems of the future. The prime factor is the advanced intelligence and accelerated data processing techniques that can, in near real-time, discover environmental or legal infractions, buildings or bridges in danger of collapse, the spread of fires or tree or plant infections, changes in demographics, and more. They can also determine progress toward positive goals. This chapter will explore how space systems linked to Big Data Analysis and AI interpretative systems can support efforts to achieve the United Nations? Sustainable Development Goals, enable enforcement of environmental laws and regulations, and support positive global development in new ways that are much more rapid, accurate, and actionable. ?The authors wish to particularly thank Peter Marshall for his help in reviewing and editing this chapter.? ? 2024 selection and editorial matter, Matteo Madi and Olga Sokolova; individual chapters, the contributors.","Space Systems, Quantum Computers, Big Data and Sustainability: New Tools for the United Nations Sustainable Development Goals","Artificial Intelligence for Space: AI4SPACE: Trends, Applications, and Perspectives",Pelton J.N.; Madry S.,,o,,-1,2024-02-18 16:56:17,
39872582,10.1103/PRXQuantum.3,0,,"We show that an array of polar molecules interacting with Rydberg atoms is a promising hybrid system for scalable quantum computation. Quantum information is stored in long-lived hyperfine or rotational states of molecules, which interact indirectly through resonant dipole-dipole interactions with Rydberg atoms. A two-qubit gate based on this interaction has a duration of 1?s and an achievable fidelity of 99.9%. The gate has little sensitivity to the motional states of the particles - the molecules can be in thermal states, the atoms do not need to be trapped during Rydberg excitation, the gate does not heat the molecules, and heating of the atoms has a negligible effect. Within a large, static array, the gate can be applied to arbitrary pairs of molecules separated by tens of micrometres, making the scheme highly scalable. The molecule-atom interaction can also be used for rapid qubit initialization and efficient, nondestructive qubit readout, without driving any molecular transitions. Single-qubit gates are driven using microwave pulses alone, exploiting the strong electric dipole transitions between rotational states. Thus, all operations required for large-scale quantum computation can be done without moving the molecules or exciting them out of their ground electronic states.  ? 2022 authors. Published by the American Physical Society.",Quantum Computation in a Hybrid Array of Molecules and Rydberg Atoms,PRX Quantum,Zhang C.; Tarbutt M.R.,,o,,-1,2024-02-18 16:57:58,
39872583,10.1109/ICERECT56837,0,Hybrid Algorithms; QML Applications; Quantum Machine Learning; Quantum Techniques,"Over the course of the last seven decades the world of computing has taken revolutionary reformations in the scope of classical computing. Classical computers manipulate ones and zeroes to crunch through operations given to them by users. An innovative strategy known as quantum computing leverages the concepts of quantum physics to solve issues that are too complex for conventional computers to handle. Two of the domains of science that are now progressing the fastest are theoretical machine learning and quantum computing theory. In recent years, researchers have begun examining how classic machine learning techniques may be improved by quantum computing. Hybrid techniques that integrate conventional and quantum algorithms are part of quantum machine learning. Instead of using standard data, quantum techniques may be utilized to examine quantum states. However, quantum algorithms have the potential to greatly expand current data science techniques. In this paper we review the contribution carried out by various researchers in the field of Quantum Machine Learning and later we look at certain techniques associated with it for its use. ? 2022 IEEE.",A Survey on Machine Learning Techniques Using Quantum Computing,"4th International Conference on Emerging Research in Electronics, Computer Science and Technology, ICERECT 2022",Manjunath T.N.; Hiremath A.; Niranjanamurthy M.; Peng S.-L.; Shrihari M.R.; Pushpa S.K.,,o,,-1,2024-02-18 17:01:34,
39872584,10.1038/s41534-022-0,0,,"A quantum implementation of the Stochastic Series Expansion (SSE) Monte Carlo method is proposed, and is shown to offer significant advantages over classical implementations of SSE. In particular, for problems where classical SSE encounters the sign problem, the cost of implementing a Monte Carlo iteration scales only linearly with system size in quantum SSE, while it may scale exponentially with system size in classical SSE. In cases where classical SSE can be efficiently implemented, quantum SSE still offers an advantage by allowing for more general observables to be measured. ? 2022, The Author(s).",Sign-problem free quantum stochastic series expansion algorithm on a quantum computer,npj Quantum Information,Tan K.C.; Bhowmick D.; Sengupta P.,,o,,1,2024-02-18 17:05:18,
39872585,10.23919/ICN.2021.00,0,D-wave quantum computer; intelligent transportation; quantum annealing; quantum computing,"The intelligent transportation system (ITS) integrates a variety of advanced science and technology to support and monitor road traffic systems and accelerate the urbanization process of various countries. This paper analyzes the shortcomings of ITS, introduces the principle of quantum computing and the performance of universal quantum computer and special-purpose quantum computer, and shows how to use quantum advantages to improve the existing ITS. The application of quantum computer in transportation field is reviewed from three application directions: path planning, transportation operation management, and transportation facility layout. Due to the slow development of the current universal quantum computer, the D-Wave quantum machine is used as a breakthrough in the practical application. This paper makes it clear that quantum computing is a powerful tool to promote the development of ITS, emphasizes the importance and necessity of introducing quantum computing into intelligent transportation, and discusses the possible development direction in the future. ? All articles included in the journal are copyrighted to the ITU and TUP.",Shaping the future of the application of quantum computing in intelligent transportation system,Intelligent and Converged Networks,Wang S.; Pei Z.; Wang C.; Wu J.,,o,,-1,2024-02-18 17:05:59,
39872586,10.1021/acs.jctc.1c0,0,,"The variational quantum eigensolver (VQE) algorithm combined with the unitary coupled cluster (UCC) ansatz has been developed for the quantum computation of molecular energies and wave functions within the Born-Oppenheimer approximation. Herein, this approach is extended to multicomponent systems to enable the quantum mechanical treatment of more than one type of particle, such as electrons and positrons or electrons and nuclei, without invoking the Born-Oppenheimer approximation. Specifically, we introduce the multicomponent unitary coupled cluster (mcUCC) method combined with the VQE algorithm for the calculation of ground-state energies and wave functions as well as the multicomponent equation-of-motion (mcEOM) method for the calculation of excitation energies. These methods are developed within the nuclear-electronic orbital (NEO) framework and are formulated in the qubit basis to enable implementations on quantum computers. Moreover, these methods are used to calculate the ground-state energy and excitation energies of positronium hydride, where both electrons and the positron are treated quantum mechanically, as well as the H2 molecule, where both electrons and one proton are treated quantum mechanically. These applications validate the implementation and provide benchmark data for future calculations. The errors due to Trotterization of the mcUCC ansatz are also analyzed. This formalism, as well as the accompanying computer code, will serve as the basis for applications to more complex multicomponent systems, such as simulations of photoinduced nonadiabatic molecular processes, on both classical and quantum computers.  ? ",Multicomponent Unitary Coupled Cluster and Equation-of-Motion for Quantum Computation,Journal of Chemical Theory and Computation,Pavo?evi? F.; Hammes-Schiffer S.,,o,,-1,2024-02-18 17:08:12,
39872587,10.1201/978100328761,0,,"The application of quantum mechanics to computation has the potential to overturn the foundations that our existing computers and internet were built on. The unique principles of quantum systems allow us to solve problems, break encryption schemes, and formulate new frameworks for mass communication that would otherwisebe impossible with traditional technologies. Likewise, the cloud architecture for computing has brought about a similar revolution. The two concepts, quantum computing and cloud computing, can be unified by implementing unconditional security in the cloud. This is achieved by leveraging the unique properties of quantum mechanical systems. In this chapter, various methods of improving cloud security using quantum computing will be discussed. ? 2023 Maanak Gupta, Ravi Tomar, Anuj Kumar Yadav and Hanumat Sastry G.",A Survey of Quantum Computing for Cloud Security,Future Connected Technologies: Growing Convergence and Security Implications,Brotherton M.; Gupta M.,book,o,,1,2024-02-18 17:10:11,relevant book chapter
